start,end
Melbourne,Sydney
Melbourne,Canberra
Melbourne,Brisbane
Melbourne,Perth
Melbourne,Auckland
Melbourne,Christchurch
Melbourne,Singapore
Melbourne,Bangkok
Melbourne,Doha
Melbourne,Dubai
Melbourne,Abu Dabi
Melbourne,Tokyo
Melbourne,Ho Chi Minh City
Christchurch,Invercargil
Singapore,London
Bangkok,Krabi
Bangkok,Kathmandu
Kathmandu,Pokhara
Doha,London
Doha,Copenhagen
Copenhagen,Oslo
Oslo,Bodø
Doha,Edinburgh
Dubai,London
Abu Dabi,London
Ho Chi Minh City,Hanoi
Edinburgh,Belfast
London,Reykjavik
Reykjavik,Hofn
Akureyri,Reykjavik
Stavanger,Reykjavik
Reykjavik,Stockholm
Stockholm,Dubai
Belfast,Amsterdam
Brussels,London
London,Paris
London,Malaga
Seville,London
London,Madrid
Madrid,Lisboa
Lisboa,London
London,Vienna
Vienna,Barcelona
Marseilles,London
London,Luxembourg City
Zurich,London
London,Prague
London,Krakow
Gdansk,London
London,Bucharest
Cluj-Napoca,London
London,Athens
London,Riga
London,Sofia
London,Helsinki
Helsinki,Riga
Riga,Malta
Melbourne,Nadi Fiji
London,Barcelona
Melbourne,Denpasar
Melbourne,Kununurra
Hanoi,Siem Reap
Siem Reap,Melbourne
London,Dublin
Los Angeles,New York
New York,Orlando
London,Belgrade
London,Sibiu
Timisoara,Brussels
London,Marrakech
London,Kiev
Kiev,Minsk
Minsk,Riga
Riga,Moscow
Helsinki,Rovaniemi
