person,country
PersonA,Australia
PersonA,New Zealand
PersonA,Austria
PersonA,UK
PersonA,Norway
PersonA,Iceland
PersonA,Denmark
PersonA,Belgium
PersonA,France
PersonA,Germany
PersonA,Spain
PersonA,Portugal
PersonA,Italy
PersonA,Switzerland
PersonA,Luxembourg
PersonA,Czech Republic
PersonA,Poland
PersonA,Hungary
PersonA,Latvia
PersonA,Slovenia
PersonA,Slovakia
PersonA,Romania
PersonA,Greece
PersonA,Vatican City
PersonA,Bulgaria
PersonA,Japan
PersonA,Vietnam
PersonA,Cambodia
PersonA,Thailand
PersonA,Netherlands
PersonB,Netherlands
PersonB,Australia
PersonB,New Zealand
PersonB,Austria
PersonB,UK
PersonB,Norway
PersonB,Iceland
PersonB,Denmark
PersonB,Belgium
PersonB,France
PersonB,Germany
PersonB,Spain
PersonB,Portugal
PersonB,Italy
PersonB,Switzerland
PersonB,Luxembourg
PersonB,Czech Republic
PersonB,Poland
PersonB,Hungary
PersonB,Latvia
PersonB,Slovenia
PersonB,Romania
PersonB,Greece
PersonB,Vatican City
PersonB,Bulgaria
PersonB,Japan
PersonB,Vietnam
PersonB,Cambodia
PersonB,Thailand
PersonB,Finland
PersonB,Malta
PersonB,USA
PersonB,Fiji
PersonB,Nepal
PersonB,Ireland
PersonB,Indonesia
Planned,Ukraine
Planned,Russia
Planned,Serbia
Planned,Croatia
Planned,Kosovo
Planned,Macedonia
Planned,Montenegro
Planned,Bosnia and Herzegovina
Planned,Morocco
